episode,total_reward,steps,success,epsilon,rolling_success
1,-49.137,400,0,1.0,0.0
2,-36.579,400,0,0.995,0.0
3,-26.195,316,1,0.990025,0.0
4,-19.059,356,1,0.985075,0.0
5,-48.24,400,0,0.98015,0.0
6,-49.137,400,0,0.975249,0.0
7,-44.054,400,0,0.970373,0.0
8,-53.921,400,0,0.965521,0.0
9,-42.26,400,0,0.960693,0.0
10,-48.24,400,0,0.95589,0.0
11,-46.147,400,0,0.95111,0.0
12,-51.828,400,0,0.946355,0.0
13,-33.888,400,0,0.941623,0.0
14,-39.27,400,0,0.936915,0.0
15,-38.971,400,0,0.93223,0.0
16,-42.858,400,0,0.927569,0.0
17,-12.979,256,1,0.922931,0.0
18,-38.971,400,0,0.918316,0.0
19,-38.373,400,0,0.913725,0.0
20,-34.486,400,0,0.909156,0.0
21,-39.569,400,0,0.90461,0.0
22,-42.559,400,0,0.900087,0.0
23,-44.652,400,0,0.895587,0.0
24,-47.642,400,0,0.891109,0.0
25,-21.431,336,1,0.886654,0.0
26,-52.426,400,0,0.88222,0.0
27,-23.289,400,1,0.877809,0.0
28,-38.672,400,0,0.87342,0.0
29,-47.642,400,0,0.869053,0.0
30,-39.569,400,0,0.864708,0.0
31,-40.765,400,0,0.860384,0.0
32,-47.044,400,0,0.856082,0.0
33,-49.137,400,0,0.851802,0.0
34,-41.363,400,0,0.847543,0.0
35,-43.755,400,0,0.843305,0.0
36,-43.157,400,0,0.839089,0.0
37,-40.167,400,0,0.834893,0.0
38,-40.167,400,0,0.830719,0.0
39,-35.084,400,0,0.826565,0.0
40,-36.579,400,0,0.822432,0.0
41,-37.177,400,0,0.81832,0.0
42,-43.456,400,0,0.814229,0.0
43,-44.054,400,0,0.810157,0.0
44,-33.589,400,0,0.806107,0.0
45,-43.157,400,0,0.802076,0.0
46,-40.466,400,0,0.798066,0.0
47,-41.662,400,0,0.794075,0.0
48,-43.456,400,0,0.790105,0.0
49,-45.848,400,0,0.786154,0.0
50,-65.582,400,0,0.782224,0.0
51,-38.373,400,0,0.778313,0.0
