episode,total_reward,steps,success,epsilon,rolling_success
1,-49.137,400,0,1.0,0.0
2,-35.981,400,0,0.995,0.0
3,-18.421,316,1,0.990025,0.0
4,-36.579,400,0,0.985075,0.0
5,-46.147,400,0,0.98015,0.0
6,-49.735,400,0,0.975249,0.0
7,-39.868,400,0,0.970373,0.0
8,-41.961,400,0,0.965521,0.0
9,-36.28,400,0,0.960693,0.0
10,-5.781,234,1,0.95589,0.0
11,-35.084,400,0,0.95111,0.0
12,-45.848,400,0,0.946355,0.0
13,-41.961,400,0,0.941623,0.0
14,-39.27,400,0,0.936915,0.0
15,-29.104,400,0,0.93223,0.0
16,-39.868,400,0,0.927569,0.0
17,-43.456,400,0,0.922931,0.0
18,-39.27,400,0,0.918316,0.0
19,-41.064,400,0,0.913725,0.0
20,-31.197,400,0,0.909156,0.0
21,-84.419,400,0,0.90461,0.0
22,-40.466,400,0,0.900087,0.0
23,-48.838,400,0,0.895587,0.0
24,-47.941,400,0,0.891109,0.0
25,-32.692,400,0,0.886654,0.0
26,-41.363,400,0,0.88222,0.0
27,-38.074,400,0,0.877809,0.0
28,-40.765,400,0,0.87342,0.0
29,-13.603,282,1,0.869053,0.0
30,-30.3,400,0,0.864708,0.0
31,-31.795,400,0,0.860384,0.0
32,-35.981,400,0,0.856082,0.0
33,-27.465,390,1,0.851802,0.0
34,-32.393,400,0,0.847543,0.0
35,-30.3,400,0,0.843305,0.0
36,-40.765,400,0,0.839089,0.0
37,-38.074,400,0,0.834893,0.0
38,-35.682,400,0,0.830719,0.0
39,-39.569,400,0,0.826565,0.0
40,-35.682,400,0,0.822432,0.0
41,-40.765,400,0,0.81832,0.0
42,-31.197,400,0,0.814229,0.0
43,-34.187,400,0,0.810157,0.0
44,-31.496,400,0,0.806107,0.0
45,-15.143,327,1,0.802076,0.0
46,-36.28,400,0,0.798066,0.0
47,-35.981,400,0,0.794075,0.0
48,-32.393,400,0,0.790105,0.0
49,-34.486,400,0,0.786154,0.0
50,-32.991,400,0,0.782224,0.0
51,-27.011,400,0,0.778313,0.0
52,-31.197,400,0,0.774421,0.0
53,-35.383,400,0,0.770549,0.0
54,-31.795,400,0,0.766696,0.0
55,-36.579,400,0,0.762863,0.0
56,-38.373,400,0,0.759048,0.0
57,-27.609,400,0,0.755253,0.0
58,-36.878,400,0,0.751477,0.0
59,-38.074,400,0,0.747719,0.0
60,-29.403,400,0,0.743981,0.0
61,-31.496,400,0,0.740261,0.0
62,-31.197,400,0,0.73656,0.0
63,-31.795,400,0,0.732877,0.0
64,-36.28,400,0,0.729212,0.0
65,-34.486,400,0,0.725566,0.0
66,-27.908,400,0,0.721939,0.0
67,-28.207,400,0,0.718329,0.0
68,-34.785,400,0,0.714737,0.0
69,-13.297,275,1,0.711164,0.0
70,-31.197,400,0,0.707608,0.0
71,-31.197,400,0,0.70407,0.0
72,-29.702,400,0,0.700549,0.0
73,-32.094,400,0,0.697047,0.0
74,-25.516,400,0,0.693561,0.0
75,-27.609,400,0,0.690094,0.0
76,-24.918,400,0,0.686643,0.0
77,-25.516,400,0,0.68321,0.0
78,-29.702,400,0,0.679794,0.0
79,-30.599,400,0,0.676395,0.0
80,-26.712,400,0,0.673013,0.0
81,-24.32,400,0,0.669648,0.0
82,-29.403,400,0,0.6663,0.0
83,-30.599,400,0,0.662968,0.0
84,-14.295,376,1,0.659653,0.0
85,-27.31,400,0,0.656355,0.0
86,-38.971,400,0,0.653073,0.0
87,-31.795,400,0,0.649808,0.0
88,-31.197,400,0,0.646559,0.0
89,-0.363,198,1,0.643326,0.0
90,-35.682,400,0,0.640109,0.0
91,-27.609,400,0,0.636909,0.0
92,-24.619,400,0,0.633724,0.0
93,-29.104,400,0,0.630556,0.0
94,-21.629,400,0,0.627403,0.0
95,-11.863,336,1,0.624266,0.0
96,-27.011,400,0,0.621145,0.0
97,-30.001,400,0,0.618039,0.0
98,3.617,105,1,0.614949,0.0
99,-26.413,400,0,0.611874,0.0
100,-16.981,371,1,0.608815,0.11
101,2.027,200,1,0.60577,0.12
102,-22.825,400,0,0.602742,0.12
103,-25.815,400,0,0.599728,0.11
104,-0.949,186,1,0.596729,0.12
105,-21.928,400,0,0.593746,0.12
106,-21.33,400,0,0.590777,0.12
107,4.809,109,1,0.587823,0.13
108,-6.487,342,1,0.584884,0.14
109,1.793,135,1,0.581959,0.15
110,-4.607,256,1,0.57905,0.15
111,5.391,125,1,0.576154,0.16
112,-15.948,400,0,0.573274,0.16
113,6.631,81,1,0.570407,0.17
114,4.183,137,1,0.567555,0.18
115,7.533,76,1,0.564717,0.19
116,-19.237,400,0,0.561894,0.19
117,3.293,130,1,0.559084,0.2
118,-22.825,400,0,0.556289,0.2
119,-0.771,307,1,0.553508,0.21
120,-20.134,400,0,0.55074,0.21
121,0.583,149,1,0.547986,0.22
122,3.897,124,1,0.545246,0.23
123,-27.908,400,0,0.54252,0.23
124,-24.619,400,0,0.539808,0.23
125,-22.227,400,0,0.537108,0.23
126,-3.655,201,1,0.534423,0.24
127,-22.526,400,0,0.531751,0.24
128,6.647,65,1,0.529092,0.25
129,-11.595,367,1,0.526447,0.25
130,-23.722,400,0,0.523814,0.25
131,-15.051,400,0,0.521195,0.25
132,-13.855,400,0,0.518589,0.25
133,-19.237,400,0,0.515996,0.24
134,-23.124,400,0,0.513416,0.24
135,-27.609,400,0,0.510849,0.24
136,-18.041,400,0,0.508295,0.24
137,-23.722,400,0,0.505754,0.24
138,-4.611,260,1,0.503225,0.25
139,-25.217,400,0,0.500709,0.25
140,-19.835,400,0,0.498205,0.25
141,-20.433,400,0,0.495714,0.25
142,-20.134,400,0,0.493236,0.25
143,-18.041,400,0,0.490769,0.25
144,-16.546,400,0,0.488316,0.25
145,-15.051,400,0,0.485874,0.24
146,-17.144,400,0,0.483445,0.24
147,-17.742,400,0,0.481027,0.24
148,-14.453,400,0,0.478622,0.24
149,-26.413,400,0,0.476229,0.24
150,-19.835,400,0,0.473848,0.24
151,-17.144,400,0,0.471479,0.24
152,-21.031,400,0,0.469121,0.24
153,-24.021,400,0,0.466776,0.24
154,-24.021,400,0,0.464442,0.24
155,-16.546,400,0,0.46212,0.24
156,-10.707,376,1,0.459809,0.25
157,-21.928,400,0,0.45751,0.25
158,-24.021,400,0,0.455222,0.25
159,-17.144,400,0,0.452946,0.25
160,-22.227,400,0,0.450682,0.25
161,-2.045,385,1,0.448428,0.26
162,-15.051,400,0,0.446186,0.26
163,-22.825,400,0,0.443955,0.26
164,-21.33,400,0,0.441735,0.26
165,-19.835,400,0,0.439527,0.26
166,-15.35,400,0,0.437329,0.26
167,-21.928,400,0,0.435142,0.26
168,-24.918,400,0,0.432967,0.26
169,-19.237,400,0,0.430802,0.25
170,-18.041,400,0,0.428648,0.25
171,-21.629,400,0,0.426505,0.25
172,-19.835,400,0,0.424372,0.25
173,-24.32,400,0,0.42225,0.25
174,-23.722,400,0,0.420139,0.25
175,-7.039,296,1,0.418038,0.26
176,-17.144,400,0,0.415948,0.26
177,-18.34,400,0,0.413868,0.26
178,-11.463,400,0,0.411799,0.26
179,-21.928,400,0,0.40974,0.26
180,-12.36,400,0,0.407691,0.26
181,-28.506,400,0,0.405653,0.26
182,-23.423,400,0,0.403625,0.26
183,-21.928,400,0,0.401606,0.26
184,-19.835,400,0,0.399598,0.25
185,-14.453,400,0,0.3976,0.25
186,-15.649,400,0,0.395612,0.25
187,-11.762,400,0,0.393634,0.25
188,-18.041,400,0,0.391666,0.25
189,-14.752,400,0,0.389708,0.24
190,-15.35,400,0,0.387759,0.24
191,-15.35,400,0,0.385821,0.24
192,-12.061,400,0,0.383891,0.24
193,-15.948,400,0,0.381972,0.24
194,-18.938,400,0,0.380062,0.24
195,-15.051,400,0,0.378162,0.23
196,-8.621,383,1,0.376271,0.24
197,2.313,213,1,0.37439,0.25
198,-12.958,400,0,0.372518,0.24
199,-15.649,400,0,0.370655,0.24
200,-8.174,400,0,0.368802,0.23
201,-15.051,400,0,0.366958,0.22
202,-14.453,400,0,0.365123,0.22
203,-15.35,400,0,0.363297,0.22
204,-15.051,400,0,0.361481,0.21
205,-10.267,400,0,0.359674,0.21
206,-15.051,400,0,0.357875,0.21
207,-18.639,400,0,0.356086,0.2
208,-14.453,400,0,0.354305,0.19
209,1.995,232,1,0.352534,0.19
210,-18.639,400,0,0.350771,0.18
211,-16.247,400,0,0.349017,0.17
212,-20.134,400,0,0.347272,0.17
213,7.503,106,1,0.345536,0.17
214,-14.154,400,0,0.343808,0.16
215,-25.217,400,0,0.342089,0.15
216,-11.762,400,0,0.340379,0.15
217,3.851,170,1,0.338677,0.15
218,-11.164,400,0,0.336983,0.15
