episode,total_reward,steps,success,epsilon,rolling_success
1,-11.993,214,1,1.0,0.0
2,-44.456,400,0,0.995,0.0
3,-45.152,400,0,0.990025,0.0
4,-32.002,400,0,0.985075,0.0
5,-6.671,174,1,0.98015,0.0
6,-30.904,400,0,0.975249,0.0
7,-46.147,400,0,0.970373,0.0
8,-40.966,400,0,0.965521,0.0
9,-36.43,400,0,0.960693,0.0
10,-34.988,400,0,0.95589,0.0
11,-46.197,400,0,0.95111,0.0
12,-31.206,400,0,0.946355,0.0
13,-38.971,400,0,0.941623,0.0
14,-20.985,381,1,0.936915,0.0
15,-35.981,400,0,0.93223,0.0
16,-32.692,400,0,0.927569,0.0
17,-36.183,400,0,0.922931,0.0
18,-44.054,400,0,0.918316,0.0
19,-12.885,259,1,0.913725,0.0
20,-37.034,400,0,0.909156,0.0
21,-39.873,400,0,0.90461,0.0
22,-16.005,333,1,0.900087,0.0
23,-42.559,400,0,0.895587,0.0
24,-39.569,400,0,0.891109,0.0
25,-36.582,400,0,0.886654,0.0
26,-35.14,400,0,0.88222,0.0
27,-32.702,400,0,0.877809,0.0
28,-43.217,400,0,0.87342,0.0
29,-31.948,400,0,0.869053,0.0
30,-12.917,290,1,0.864708,0.0
31,-35.732,400,0,0.860384,0.0
32,-35.084,400,0,0.856082,0.0
33,-34.04,400,0,0.851802,0.0
34,-37.476,400,0,0.847543,0.0
35,-35.383,400,0,0.843305,0.0
36,-30.599,400,0,0.839089,0.0
37,-40.12,400,0,0.834893,0.0
38,-32.692,400,0,0.830719,0.0
39,-34.785,400,0,0.826565,0.0
40,-31.601,400,0,0.822432,0.0
41,-12.795,266,1,0.81832,0.0
42,-38.672,400,0,0.814229,0.0
43,-30.255,400,0,0.810157,0.0
44,-32.692,400,0,0.806107,0.0
45,-31.795,400,0,0.802076,0.0
46,-4.041,187,1,0.798066,0.0
47,-31.648,400,0,0.794075,0.0
48,-26.564,400,0,0.790105,0.0
49,-27.31,400,0,0.786154,0.0
50,-5.863,308,1,0.782224,0.0
51,-34.237,400,0,0.778313,0.0
52,-27.609,400,0,0.774421,0.0
53,-27.908,400,0,0.770549,0.0
54,-31.15,400,0,0.766696,0.0
55,-30.001,400,0,0.762863,0.0
56,-30.898,400,0,0.759048,0.0
57,-31.795,400,0,0.755253,0.0
58,-34.486,400,0,0.751477,0.0
59,-30.898,400,0,0.747719,0.0
60,-32.692,400,0,0.743981,0.0
61,-34.536,400,0,0.740261,0.0
62,-27.609,400,0,0.73656,0.0
63,-32.094,400,0,0.732877,0.0
64,-30.898,400,0,0.729212,0.0
65,-28.805,400,0,0.725566,0.0
66,-23.474,400,0,0.721939,0.0
67,-25.217,400,0,0.718329,0.0
68,-29.104,400,0,0.714737,0.0
69,-30.45,400,0,0.711164,0.0
70,-30.599,400,0,0.707608,0.0
71,-24.719,400,0,0.70407,0.0
72,-26.762,400,0,0.700549,0.0
73,-18.938,400,0,0.697047,0.0
74,-23.124,400,0,0.693561,0.0
75,-30.001,400,0,0.690094,0.0
76,-23.324,400,0,0.686643,0.0
77,-22.576,400,0,0.68321,0.0
78,2.233,142,1,0.679794,0.0
79,-28.257,400,0,0.676395,0.0
80,-30.352,400,0,0.673013,0.0
81,-28.158,400,0,0.669648,0.0
82,-28.506,400,0,0.6663,0.0
83,-23.124,400,0,0.662968,0.0
84,-13.225,348,1,0.659653,0.0
85,-29.902,400,0,0.656355,0.0
86,-22.526,400,0,0.653073,0.0
87,-22.526,400,0,0.649808,0.0
88,-26.762,400,0,0.646559,0.0
89,-30.599,400,0,0.643326,0.0
90,-32.991,400,0,0.640109,0.0
91,-24.021,400,0,0.636909,0.0
92,-26.114,400,0,0.633724,0.0
93,-26.712,400,0,0.630556,0.0
94,-26.114,400,0,0.627403,0.0
95,-24.32,400,0,0.624266,0.0
96,-26.563,400,0,0.621145,0.0
97,-21.928,400,0,0.618039,0.0
98,-20.832,400,0,0.614949,0.0
99,-23.722,400,0,0.611874,0.0
100,-24.619,400,0,0.608815,0.11
101,-26.962,400,0,0.60577,0.1
102,-24.32,400,0,0.602742,0.1
103,-26.712,400,0,0.599728,0.1
104,-25.516,400,0,0.596729,0.1
105,-20.732,400,0,0.593746,0.09
106,-28.009,400,0,0.590777,0.09
107,-25.716,400,0,0.587823,0.09
108,-23.423,400,0,0.584884,0.09
109,-18.938,400,0,0.581959,0.09
110,-0.497,179,1,0.57905,0.1
111,-24.021,400,0,0.576154,0.1
112,-21.928,400,0,0.573274,0.1
113,-21.53,400,0,0.570407,0.1
114,-19.985,400,0,0.567555,0.09
115,-18.938,400,0,0.564717,0.09
116,-21.629,400,0,0.561894,0.09
117,1.261,116,1,0.559084,0.1
118,-25.516,400,0,0.556289,0.1
119,0.337,194,1,0.553508,0.1
120,-14.453,400,0,0.55074,0.1
121,-23.573,400,0,0.547986,0.1
122,-20.433,400,0,0.545246,0.09
123,-22.526,400,0,0.54252,0.09
124,-22.875,400,0,0.539808,0.09
125,-15.948,400,0,0.537108,0.09
126,-21.031,400,0,0.534423,0.09
127,-19.985,400,0,0.531751,0.09
128,-18.938,400,0,0.529092,0.09
129,-16.845,400,0,0.526447,0.09
130,-20.134,400,0,0.523814,0.08
131,-19.587,400,0,0.521195,0.08
132,-25.965,400,0,0.518589,0.08
133,-25.217,400,0,0.515996,0.08
134,-15.35,400,0,0.513416,0.08
135,-18.938,400,0,0.510849,0.08
136,-15.948,400,0,0.508295,0.08
137,-13.407,400,0,0.505754,0.08
138,-18.34,400,0,0.503225,0.08
139,-20.134,400,0,0.500709,0.08
140,-17.742,400,0,0.498205,0.08
141,-20.433,400,0,0.495714,0.07
142,-21.031,400,0,0.493236,0.07
143,-20.433,400,0,0.490769,0.07
144,-13.855,400,0,0.488316,0.07
145,-18.938,400,0,0.485874,0.07
146,-17.144,400,0,0.483445,0.06
147,-15.948,400,0,0.481027,0.06
148,-19.536,400,0,0.478622,0.06
149,-21.928,400,0,0.476229,0.06
150,-17.792,400,0,0.473848,0.05
151,-15.948,400,0,0.471479,0.05
152,-18.042,400,0,0.469121,0.05
153,-13.758,400,0,0.466776,0.05
154,-18.938,400,0,0.464442,0.05
155,-20.135,400,0,0.46212,0.05
156,-18.093,400,0,0.459809,0.05
157,-22.228,400,0,0.45751,0.05
158,-13.656,400,0,0.455222,0.05
159,-14.752,400,0,0.452946,0.05
160,-15.649,400,0,0.450682,0.05
161,-16.546,400,0,0.448428,0.05
162,-10.865,400,0,0.446186,0.05
163,-17.443,400,0,0.443955,0.05
164,-14.154,400,0,0.441735,0.05
165,-13.556,400,0,0.439527,0.05
166,-16.546,400,0,0.437329,0.05
167,-15.051,400,0,0.435142,0.05
168,-16.247,400,0,0.432967,0.05
169,-16.546,400,0,0.430802,0.05
170,-16.546,400,0,0.428648,0.05
171,-15.948,400,0,0.426505,0.05
172,-12.958,400,0,0.424372,0.05
173,-15.051,400,0,0.42225,0.05
174,-16.845,400,0,0.420139,0.05
175,-18.689,400,0,0.418038,0.05
176,-18.639,400,0,0.415948,0.05
177,-15.051,400,0,0.413868,0.05
178,-17.742,400,0,0.411799,0.04
179,-19.089,400,0,0.40974,0.04
180,-21.031,400,0,0.407691,0.04
181,-17.144,400,0,0.405653,0.04
182,3.799,171,1,0.403625,0.05
183,-24.071,400,0,0.401606,0.05
184,-14.154,400,0,0.399598,0.04
185,-13.257,400,0,0.3976,0.04
186,-16.247,400,0,0.395612,0.04
187,-13.556,400,0,0.393634,0.04
188,-20.732,400,0,0.391666,0.04
189,-11.164,400,0,0.389708,0.04
190,-14.752,400,0,0.387759,0.04
191,-11.762,400,0,0.385821,0.04
192,-16.546,400,0,0.383891,0.04
193,-16.548,400,0,0.381972,0.04
194,-14.005,400,0,0.380062,0.04
195,-12.659,400,0,0.378162,0.04
196,-11.762,400,0,0.376271,0.04
197,-11.164,400,0,0.37439,0.04
198,-15.948,400,0,0.372518,0.04
199,8.607,47,1,0.370655,0.05
200,4.843,173,1,0.368802,0.06
201,-14.005,400,0,0.366958,0.06
202,-13.556,400,0,0.365123,0.06
203,-16.247,400,0,0.363297,0.06
204,-9.769,400,0,0.361481,0.06
205,5.699,164,1,0.359674,0.07
206,-14.154,400,0,0.357875,0.07
207,-12.061,400,0,0.356086,0.07
208,-12.36,400,0,0.354305,0.07
209,-15.051,400,0,0.352534,0.07
210,-13.257,400,0,0.350771,0.06
211,-9.071,400,0,0.349017,0.06
212,-5.099,348,1,0.347272,0.07
213,-13.556,400,0,0.345536,0.07
214,-10.118,400,0,0.343808,0.07
215,4.823,144,1,0.342089,0.08
216,-12.111,400,0,0.340379,0.08
217,-13.257,400,0,0.338677,0.07
218,-13.657,400,0,0.336983,0.07
219,-10.267,400,0,0.335298,0.06
220,-14.453,400,0,0.333622,0.06
221,3.863,204,1,0.331954,0.07
222,-12.36,400,0,0.330294,0.07
223,6.933,77,1,0.328643,0.08
224,-15.155,400,0,0.326999,0.08
225,-3.253,296,1,0.325364,0.09
226,-10.667,400,0,0.323738,0.09
227,-13.307,400,0,0.322119,0.09
228,6.349,113,1,0.320508,0.1
229,-14.653,400,0,0.318906,0.1
230,-11.613,400,0,0.317311,0.1
231,-11.165,400,0,0.315725,0.1
232,-14.654,400,0,0.314146,0.1
233,1.975,201,1,0.312575,0.11
234,1.109,220,1,0.311012,0.12
235,-11.463,400,0,0.309457,0.12
236,-11.315,400,0,0.30791,0.12
237,-9.37,400,0,0.306371,0.12
238,-15.5,400,0,0.304839,0.12
239,-13.855,400,0,0.303315,0.12
240,-9.173,386,1,0.301798,0.13
241,-9.121,400,0,0.300289,0.13
242,-10.616,400,0,0.298788,0.13
243,-10.617,400,0,0.297294,0.13
244,-11.463,400,0,0.295807,0.13
245,-7.109,364,1,0.294328,0.14
246,-9.37,400,0,0.292856,0.14
247,-12.36,400,0,0.291392,0.14
248,-13.209,400,0,0.289935,0.14
249,-12.709,400,0,0.288486,0.14
250,-12.659,400,0,0.287043,0.14
251,-10.019,400,0,0.285608,0.14
252,-10.467,400,0,0.28418,0.14
253,-7.875,400,0,0.282759,0.14
254,-13.008,400,0,0.281345,0.14
255,1.151,325,1,0.279938,0.15
256,6.369,142,1,0.278539,0.16
257,-12.061,400,0,0.277146,0.16
258,2.087,89,1,0.27576,0.17
259,5.701,113,1,0.274382,0.18
260,-15.103,400,0,0.27301,0.18
261,-6.43,400,0,0.271645,0.18
262,-12.112,400,0,0.270286,0.18
263,-8.773,400,0,0.268935,0.18
264,-15.151,400,0,0.26759,0.18
265,0.041,389,1,0.266252,0.19
266,-7.875,400,0,0.264921,0.19
267,1.209,219,1,0.263596,0.2
268,-10.569,400,0,0.262278,0.2
269,-2.939,330,1,0.260967,0.21
270,-12.41,400,0,0.259662,0.21
271,-11.315,400,0,0.258364,0.21
272,-16.849,400,0,0.257072,0.21
273,-3.353,346,1,0.255787,0.22
274,-11.962,400,0,0.254508,0.22
275,-3.427,320,1,0.253235,0.23
276,-8.573,400,0,0.251969,0.23
277,5.685,228,1,0.250709,0.24
278,-7.875,400,0,0.249456,0.24
279,-11.513,400,0,0.248208,0.24
280,-10.517,400,0,0.246967,0.24
281,-10.816,400,0,0.245733,0.24
282,-10.468,400,0,0.244504,0.23
283,-11.364,400,0,0.243281,0.23
284,-10.069,400,0,0.242065,0.23
285,-8.972,400,0,0.240855,0.23
286,-11.365,400,0,0.23965,0.23
287,-6.38,400,0,0.238452,0.23
288,-8.174,400,0,0.23726,0.23
289,-9.071,400,0,0.236074,0.23
290,-9.071,400,0,0.234893,0.23
291,-9.122,400,0,0.233719,0.23
292,6.997,63,1,0.23255,0.24
293,-9.173,400,0,0.231387,0.24
294,-8.772,400,0,0.23023,0.24
295,-9.37,400,0,0.229079,0.24
296,-5.782,400,0,0.227934,0.24
297,-10.517,400,0,0.226794,0.24
298,-12.41,400,0,0.22566,0.24
299,-11.164,400,0,0.224532,0.23
300,6.057,155,1,0.223409,0.23
301,-10.619,400,0,0.222292,0.23
302,-8.573,400,0,0.221181,0.23
303,-9.372,400,0,0.220075,0.23
304,-11.164,400,0,0.218974,0.23
305,-5.483,400,0,0.21788,0.22
306,1.687,240,1,0.21679,0.23
307,-8.174,400,0,0.215706,0.23
308,-2.993,400,0,0.214628,0.23
309,-5.782,400,0,0.213555,0.23
310,-7.527,400,0,0.212487,0.23
311,-7.875,400,0,0.211424,0.23
312,-13.995,372,1,0.210367,0.23
313,-7.875,400,0,0.209315,0.23
314,-8.374,400,0,0.208269,0.23
315,-8.174,400,0,0.207227,0.22
316,-7.228,400,0,0.206191,0.22
317,3.771,149,1,0.20516,0.23
318,-7.277,400,0,0.204135,0.23
319,-8.174,400,0,0.203114,0.23
320,-1.729,317,1,0.202098,0.24
321,-10.417,400,0,0.201088,0.23
322,-7.178,400,0,0.200082,0.23
323,-10.719,400,0,0.199082,0.22
324,9.407,45,1,0.198087,0.23
325,-11.514,400,0,0.197096,0.22
326,-3.837,331,1,0.196111,0.23
327,-8.823,400,0,0.19513,0.23
328,-9.769,400,0,0.194154,0.22
329,-7.277,400,0,0.193184,0.22
330,1.405,372,1,0.192218,0.23
