episode,total_reward,steps,success,epsilon,rolling_success
1,-11.993,214,1,1.0,0.0
2,-42.96,400,0,0.995,0.0
3,-44.307,400,0,0.990025,0.0
4,-32.798,400,0,0.985075,0.0
5,-7.025,179,1,0.98015,0.0
6,-37.131,400,0,0.975249,0.0
7,-44.652,400,0,0.970373,0.0
8,-22.079,330,1,0.965521,0.0
9,-34.935,400,0,0.960693,0.0
10,-39.073,400,0,0.95589,0.0
11,-8.607,215,1,0.95111,0.0
12,-25.455,367,1,0.946355,0.0
13,-40.122,400,0,0.941623,0.0
14,-39.221,400,0,0.936915,0.0
15,-32.197,400,0,0.93223,0.0
16,-31.75,400,0,0.927569,0.0
17,-31.554,400,0,0.922931,0.0
18,-34.789,400,0,0.918316,0.0
19,-37.177,400,0,0.913725,0.0
20,2.779,93,1,0.909156,0.0
21,-3.359,151,1,0.90461,0.0
22,-34.89,400,0,0.900087,0.0
23,-36.187,400,0,0.895587,0.0
24,-31.605,400,0,0.891109,0.0
25,-39.722,400,0,0.886654,0.0
26,-8.439,296,1,0.88222,0.0
27,-36.43,400,0,0.877809,0.0
28,3.979,90,1,0.87342,0.0
29,-7.035,240,1,0.869053,0.0
30,-43.661,400,0,0.864708,0.0
31,-14.681,308,1,0.860384,0.0
32,1.975,101,1,0.856082,0.0
33,-34.736,400,0,0.851802,0.0
34,-1.269,155,1,0.847543,0.0
35,-17.847,385,1,0.843305,0.0
36,-3.745,188,1,0.839089,0.0
37,-38.074,400,0,0.834893,0.0
38,-1.243,179,1,0.830719,0.0
39,2.513,111,1,0.826565,0.0
40,-2.407,147,1,0.822432,0.0
41,-35.984,400,0,0.81832,0.0
42,-1.031,166,1,0.814229,0.0
43,-34.689,400,0,0.810157,0.0
44,-3.447,190,1,0.806107,0.0
45,-14.711,389,1,0.802076,0.0
46,-14.465,345,1,0.798066,0.0
47,-29.508,400,0,0.794075,0.0
48,-12.351,274,1,0.790105,0.0
49,-6.729,231,1,0.786154,0.0
50,-3.121,162,1,0.782224,0.0
51,1.259,118,1,0.778313,0.0
52,-19.757,355,1,0.774421,0.0
53,-28.71,400,0,0.770549,0.0
54,-8.537,247,1,0.766696,0.0
55,-4.249,241,1,0.762863,0.0
56,-6.657,259,1,0.759048,0.0
57,-15.739,371,1,0.755253,0.0
58,-2.847,237,1,0.751477,0.0
59,-6.699,254,1,0.747719,0.0
60,-30.351,400,0,0.743981,0.0
61,3.295,127,1,0.740261,0.0
62,2.319,106,1,0.73656,0.0
63,-3.903,198,1,0.732877,0.0
64,-6.797,249,1,0.729212,0.0
65,-7.919,226,1,0.725566,0.0
66,1.687,140,1,0.721939,0.0
67,-8.597,256,1,0.718329,0.0
68,-0.733,168,1,0.714737,0.0
69,-8.929,288,1,0.711164,0.0
70,-20.339,387,1,0.707608,0.0
71,-14.913,342,1,0.70407,0.0
72,2.557,117,1,0.700549,0.0
73,-1.601,187,1,0.697047,0.0
74,-23.823,400,0,0.693561,0.0
75,4.567,101,1,0.690094,0.0
76,-11.387,307,1,0.686643,0.0
77,-27.713,400,0,0.68321,0.0
78,1.405,123,1,0.679794,0.0
79,-11.263,283,1,0.676395,0.0
80,-9.323,285,1,0.673013,0.0
81,-12.153,374,1,0.669648,0.0
82,4.585,131,1,0.6663,0.0
83,-9.101,313,1,0.662968,0.0
84,-28.656,400,0,0.659653,0.0
85,-5.899,298,1,0.656355,0.0
86,-8.253,312,1,0.653073,0.0
87,4.399,118,1,0.649808,0.0
88,4.081,88,1,0.646559,0.0
89,-13.003,329,1,0.643326,0.0
90,-8.575,284,1,0.640109,0.0
91,-12.351,324,1,0.636909,0.0
92,-0.659,144,1,0.633724,0.0
93,2.983,140,1,0.630556,0.0
94,-1.405,192,1,0.627403,0.0
95,-9.317,279,1,0.624266,0.0
96,3.033,139,1,0.621145,0.0
97,4.219,100,1,0.618039,0.0
98,-8.591,302,1,0.614949,0.0
99,-3.691,236,1,0.611874,0.0
100,-1.609,196,1,0.608815,0.7
101,-5.057,256,1,0.60577,0.7
102,-6.801,256,1,0.602742,0.71
103,3.597,123,1,0.599728,0.72
104,-24.071,400,0,0.596729,0.72
105,-10.343,360,1,0.593746,0.72
106,8.193,62,1,0.590777,0.73
107,-7.863,321,1,0.587823,0.74
108,-11.031,350,1,0.584884,0.74
109,5.871,92,1,0.581959,0.75
110,3.717,153,1,0.57905,0.76
111,-10.399,366,1,0.576154,0.76
112,3.651,120,1,0.573274,0.76
113,-24.619,400,0,0.570407,0.76
114,-1.161,197,1,0.567555,0.77
115,4.971,95,1,0.564717,0.78
116,-2.107,245,1,0.561894,0.79
117,1.643,134,1,0.559084,0.8
118,4.159,109,1,0.556289,0.81
119,2.807,116,1,0.553508,0.82
120,6.893,67,1,0.55074,0.82
121,5.401,114,1,0.547986,0.82
122,2.359,116,1,0.545246,0.83
123,2.969,104,1,0.54252,0.84
124,-2.619,210,1,0.539808,0.85
125,-1.637,225,1,0.537108,0.86
126,2.111,115,1,0.534423,0.86
127,5.735,79,1,0.531751,0.87
128,1.771,156,1,0.529092,0.87
129,1.877,150,1,0.526447,0.87
130,5.383,82,1,0.523814,0.88
131,8.147,59,1,0.521195,0.88
132,6.115,98,1,0.518589,0.88
133,5.263,102,1,0.515996,0.89
134,5.819,94,1,0.513416,0.89
135,7.003,57,1,0.510849,0.89
136,7.185,74,1,0.508295,0.89
137,6.589,72,1,0.505754,0.9
138,8.763,41,1,0.503225,0.9
139,8.307,48,1,0.500709,0.9
140,6.647,64,1,0.498205,0.9
141,5.761,101,1,0.495714,0.91
142,7.151,58,1,0.493236,0.91
143,6.397,65,1,0.490769,0.92
144,8.515,40,1,0.488316,0.92
145,6.495,66,1,0.485874,0.92
146,5.741,72,1,0.483445,0.92
147,7.087,72,1,0.481027,0.93
148,8.817,37,1,0.478622,0.93
149,7.565,43,1,0.476229,0.93
150,7.513,45,1,0.473848,0.93
151,8.355,50,1,0.471479,0.93
152,7.143,65,1,0.469121,0.93
153,7.011,49,1,0.466776,0.94
154,8.299,56,1,0.464442,0.94
155,6.801,59,1,0.46212,0.94
156,9.017,36,1,0.459809,0.94
157,7.863,44,1,0.45751,0.94
158,9.117,36,1,0.455222,0.94
159,8.667,37,1,0.452946,0.94
160,8.465,40,1,0.450682,0.95
161,9.371,31,1,0.448428,0.95
162,8.573,32,1,0.446186,0.95
163,9.057,46,1,0.443955,0.95
164,8.611,43,1,0.441735,0.95
